      Time    Seg1Ten    Seg2Ten    Seg3Ten    Seg4Ten    Seg5Ten    Seg6Ten 
       (s)        (N)        (N)        (N)        (N)        (N)        (N) 
    0.0000 0.7795E+06 0.7865E+06 0.7833E+06 0.8133E+06 0.8632E+06 0.9368E+06
    0.0125 0.7795E+06 0.7865E+06 0.7832E+06 0.8133E+06 0.8631E+06 0.9367E+06
    0.0250 0.7795E+06 0.7865E+06 0.7832E+06 0.8134E+06 0.8630E+06 0.9367E+06
    0.0375 0.7795E+06 0.7865E+06 0.7831E+06 0.8134E+06 0.8629E+06 0.9368E+06
    0.0500 0.7795E+06 0.7865E+06 0.7831E+06 0.8135E+06 0.8627E+06 0.9369E+06
    0.0625 0.7795E+06 0.7865E+06 0.7830E+06 0.8138E+06 0.8622E+06 0.9372E+06
    0.0750 0.7795E+06 0.7865E+06 0.7829E+06 0.8141E+06 0.8617E+06 0.9374E+06
    0.0875 0.7795E+06 0.7865E+06 0.7827E+06 0.8144E+06 0.8619E+06 0.9370E+06
    0.1000 0.7795E+06 0.7865E+06 0.7827E+06 0.8143E+06 0.8626E+06 0.9368E+06
    0.1125 0.7795E+06 0.7865E+06 0.7825E+06 0.8145E+06 0.8631E+06 0.9364E+06
    0.1250 0.7795E+06 0.7865E+06 0.7828E+06 0.8145E+06 0.8634E+06 0.9363E+06
    0.1375 0.7795E+06 0.7865E+06 0.7832E+06 0.8143E+06 0.8637E+06 0.9362E+06
    0.1500 0.7795E+06 0.7865E+06 0.7831E+06 0.8146E+06 0.8640E+06 0.9361E+06
    0.1625 0.7795E+06 0.7865E+06 0.7834E+06 0.8145E+06 0.8642E+06 0.9361E+06
    0.1750 0.7795E+06 0.7865E+06 0.7835E+06 0.8146E+06 0.8645E+06 0.9361E+06
    0.1875 0.7795E+06 0.7865E+06 0.7837E+06 0.8146E+06 0.8648E+06 0.9363E+06
    0.2000 0.7795E+06 0.7872E+06 0.7834E+06 0.8144E+06 0.8652E+06 0.9364E+06
    0.2125 0.7795E+06 0.7875E+06 0.7836E+06 0.8143E+06 0.8654E+06 0.9367E+06
    0.2250 0.7795E+06 0.7875E+06 0.7838E+06 0.8143E+06 0.8658E+06 0.9369E+06
    0.2375 0.7795E+06 0.7877E+06 0.7836E+06 0.8145E+06 0.8661E+06 0.9373E+06
    0.2500 0.7795E+06 0.7881E+06 0.7837E+06 0.8143E+06 0.8665E+06 0.9374E+06
    0.2625 0.7795E+06 0.7885E+06 0.7837E+06 0.8145E+06 0.8666E+06 0.9375E+06
    0.2750 0.7795E+06 0.7885E+06 0.7841E+06 0.8145E+06 0.8666E+06 0.9378E+06
    0.2875 0.7795E+06 0.7891E+06 0.7841E+06 0.8146E+06 0.8667E+06 0.9381E+06
    0.3000 0.7795E+06 0.7895E+06 0.7840E+06 0.8147E+06 0.8667E+06 0.9384E+06
    0.3125 0.7795E+06 0.7897E+06 0.7842E+06 0.8148E+06 0.8668E+06 0.9388E+06
