      Time    Seg1Ten    Seg2Ten    Seg3Ten    Seg4Ten    Seg5Ten    Seg6Ten 
       (s)        (N)        (N)        (N)        (N)        (N)        (N) 
    0.0000 0.1160E+07 0.1174E+07 0.1180E+07 0.1215E+07 0.1262E+07 0.1328E+07
    0.0125 0.1160E+07 0.1174E+07 0.1180E+07 0.1215E+07 0.1262E+07 0.1328E+07
    0.0250 0.1160E+07 0.1174E+07 0.1180E+07 0.1215E+07 0.1262E+07 0.1327E+07
    0.0375 0.1160E+07 0.1174E+07 0.1179E+07 0.1215E+07 0.1263E+07 0.1327E+07
    0.0500 0.1160E+07 0.1174E+07 0.1178E+07 0.1214E+07 0.1263E+07 0.1327E+07
    0.0625 0.1160E+07 0.1174E+07 0.1177E+07 0.1214E+07 0.1263E+07 0.1327E+07
    0.0750 0.1160E+07 0.1174E+07 0.1177E+07 0.1213E+07 0.1263E+07 0.1326E+07
    0.0875 0.1160E+07 0.1174E+07 0.1176E+07 0.1214E+07 0.1263E+07 0.1326E+07
    0.1000 0.1160E+07 0.1174E+07 0.1175E+07 0.1213E+07 0.1264E+07 0.1325E+07
    0.1125 0.1160E+07 0.1173E+07 0.1175E+07 0.1212E+07 0.1264E+07 0.1325E+07
    0.1250 0.1160E+07 0.1173E+07 0.1174E+07 0.1212E+07 0.1264E+07 0.1324E+07
    0.1375 0.1160E+07 0.1173E+07 0.1173E+07 0.1212E+07 0.1264E+07 0.1323E+07
    0.1500 0.1160E+07 0.1173E+07 0.1172E+07 0.1211E+07 0.1265E+07 0.1322E+07
    0.1625 0.1160E+07 0.1173E+07 0.1171E+07 0.1211E+07 0.1264E+07 0.1322E+07
    0.1750 0.1160E+07 0.1173E+07 0.1170E+07 0.1210E+07 0.1264E+07 0.1322E+07
    0.1875 0.1160E+07 0.1173E+07 0.1169E+07 0.1210E+07 0.1263E+07 0.1322E+07
    0.2000 0.1160E+07 0.1173E+07 0.1168E+07 0.1209E+07 0.1262E+07 0.1322E+07
    0.2125 0.1160E+07 0.1173E+07 0.1167E+07 0.1208E+07 0.1261E+07 0.1321E+07
    0.2250 0.1160E+07 0.1173E+07 0.1167E+07 0.1208E+07 0.1260E+07 0.1321E+07
    0.2375 0.1160E+07 0.1173E+07 0.1166E+07 0.1207E+07 0.1259E+07 0.1320E+07
    0.2500 0.1160E+07 0.1173E+07 0.1165E+07 0.1207E+07 0.1258E+07 0.1319E+07
    0.2625 0.1160E+07 0.1172E+07 0.1165E+07 0.1206E+07 0.1257E+07 0.1319E+07
    0.2750 0.1160E+07 0.1169E+07 0.1167E+07 0.1205E+07 0.1256E+07 0.1318E+07
    0.2875 0.1160E+07 0.1169E+07 0.1167E+07 0.1205E+07 0.1255E+07 0.1317E+07
    0.3000 0.1160E+07 0.1168E+07 0.1166E+07 0.1204E+07 0.1254E+07 0.1316E+07
    0.3125 0.1160E+07 0.1166E+07 0.1167E+07 0.1204E+07 0.1252E+07 0.1315E+07
    0.3250 0.1160E+07 0.1166E+07 0.1167E+07 0.1203E+07 0.1251E+07 0.1314E+07
    0.3375 0.1160E+07 0.1164E+07 0.1168E+07 0.1202E+07 0.1250E+07 0.1313E+07
    0.3500 0.1160E+07 0.1164E+07 0.1167E+07 0.1202E+07 0.1249E+07 0.1312E+07
    0.3625 0.1160E+07 0.1162E+07 0.1168E+07 0.1201E+07 0.1248E+07 0.1311E+07
    0.3750 0.1160E+07 0.1161E+07 0.1167E+07 0.1200E+07 0.1247E+07 0.1310E+07
    0.3875 0.1160E+07 0.1159E+07 0.1168E+07 0.1200E+07 0.1246E+07 0.1308E+07
    0.4000 0.1160E+07 0.1157E+07 0.1167E+07 0.1201E+07 0.1245E+07 0.1307E+07
    0.4125 0.1160E+07 0.1156E+07 0.1165E+07 0.1201E+07 0.1245E+07 0.1306E+07
    0.4250 0.1160E+07 0.1154E+07 0.1164E+07 0.1200E+07 0.1245E+07 0.1306E+07
    0.4375 0.1160E+07 0.1151E+07 0.1164E+07 0.1199E+07 0.1245E+07 0.1305E+07
    0.4500 0.1160E+07 0.1149E+07 0.1162E+07 0.1198E+07 0.1245E+07 0.1305E+07
    0.4625 0.1159E+07 0.1149E+07 0.1161E+07 0.1197E+07 0.1244E+07 0.1305E+07
    0.4750 0.1155E+07 0.1149E+07 0.1162E+07 0.1196E+07 0.1244E+07 0.1304E+07
    0.4875 0.1153E+07 0.1146E+07 0.1164E+07 0.1195E+07 0.1244E+07 0.1304E+07
    0.5000 0.1153E+07 0.1145E+07 0.1161E+07 0.1194E+07 0.1243E+07 0.1303E+07
    0.5125 0.1153E+07 0.1145E+07 0.1159E+07 0.1194E+07 0.1243E+07 0.1303E+07
    0.5250 0.1152E+07 0.1144E+07 0.1158E+07 0.1193E+07 0.1242E+07 0.1302E+07
    0.5375 0.1150E+07 0.1142E+07 0.1159E+07 0.1192E+07 0.1242E+07 0.1302E+07
    0.5500 0.1150E+07 0.1142E+07 0.1156E+07 0.1191E+07 0.1241E+07 0.1301E+07
    0.5625 0.1149E+07 0.1141E+07 0.1155E+07 0.1191E+07 0.1241E+07 0.1300E+07
    0.5750 0.1146E+07 0.1141E+07 0.1155E+07 0.1190E+07 0.1240E+07 0.1300E+07
    0.5875 0.1146E+07 0.1139E+07 0.1153E+07 0.1189E+07 0.1240E+07 0.1299E+07
    0.6000 0.1146E+07 0.1138E+07 0.1152E+07 0.1188E+07 0.1239E+07 0.1298E+07
    0.6125 0.1145E+07 0.1138E+07 0.1150E+07 0.1187E+07 0.1239E+07 0.1297E+07
    0.6250 0.1142E+07 0.1137E+07 0.1151E+07 0.1186E+07 0.1238E+07 0.1297E+07
    0.6375 0.1142E+07 0.1136E+07 0.1149E+07 0.1185E+07 0.1237E+07 0.1296E+07
    0.6500 0.1142E+07 0.1135E+07 0.1147E+07 0.1184E+07 0.1237E+07 0.1295E+07
    0.6625 0.1141E+07 0.1134E+07 0.1146E+07 0.1184E+07 0.1236E+07 0.1294E+07
    0.6750 0.1139E+07 0.1132E+07 0.1146E+07 0.1183E+07 0.1236E+07 0.1293E+07
    0.6875 0.1139E+07 0.1132E+07 0.1144E+07 0.1182E+07 0.1235E+07 0.1293E+07
    0.7000 0.1139E+07 0.1132E+07 0.1142E+07 0.1181E+07 0.1234E+07 0.1292E+07
    0.7125 0.1136E+07 0.1131E+07 0.1142E+07 0.1180E+07 0.1234E+07 0.1291E+07
    0.7250 0.1136E+07 0.1130E+07 0.1141E+07 0.1179E+07 0.1233E+07 0.1290E+07
    0.7375 0.1136E+07 0.1129E+07 0.1138E+07 0.1179E+07 0.1232E+07 0.1289E+07
    0.7500 0.1136E+07 0.1128E+07 0.1139E+07 0.1178E+07 0.1230E+07 0.1288E+07
    0.7625 0.1135E+07 0.1129E+07 0.1139E+07 0.1176E+07 0.1228E+07 0.1287E+07
    0.7750 0.1135E+07 0.1128E+07 0.1138E+07 0.1174E+07 0.1226E+07 0.1286E+07
